time,equity,balance
2026-03-31 08:40:29.907245,1182.77,1183.19
2026-03-31 08:43:25.275196,1176.46,1183.15
2026-03-31 08:44:00.493041,1178.08,1182.97
2026-03-31 08:44:02.496133,1179.28,1182.97
