,id,strategy,symbol,side,volume,entry,exit,sl,tp,open_time,close_time,duration_min,pnl,commission,net_pnl,close_reason
0,2581363,BB_Engulfing_Breakout,XAUUSD.GNE,SELL,0.01,4849.99,4884.0,4883.86,4782.7,2026-04-17 13:30:18.171190,2026-04-17 16:00:42,150.4,-34.09,-0.08,-34.01,SL
1,2584375,BB_Engulfing_Breakout,XAUUSD.GNE,SELL,0.03,4803.22,4822.32,4822.19,4765.94,2026-04-20 12:35:15.541597,2026-04-20 15:29:26,174.2,-57.54,-0.24,-57.3,SL
2,2586262,BB_Engulfing_Breakout,XAUUSD.GNE,SELL,0.08,4825.15,4812.42,4831.8,4812.42,2026-04-20 23:08:08.887406,2026-04-21 03:40:21,272.2,101.22,-0.62,101.84,TP
